"External ID","Asientos/Debe","Asientos/Haber","Asientos/Fecha creación","Asientos/Fecha vencimiento","Asientos/Nombre","Asientos/Nota interna","Asientos/Referencia","Asientos/Cuenta/Activo","Asientos/Empresa/Activo","Asientos/Producto/Activo","Asientos/Boleta de Depósito/ID","Asientos/Boleta de Depósito","Asientos/Cuenta","Asientos/Empresa","Asientos/Producto"
"","2548850.0","","","2018-01-14","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_435",""
"","","222070.0","","2018-01-14","OC |2017|03440","","","True","True","","","","__export__.account_account_928","__export__.res_partner_2057",""
"","","5075928.0","","2017-12-17","ENTR |01612","","","True","True","","","","__export__.account_account_928","__export__.res_partner_378",""
"","1950000.0","","","2017-12-26","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_618",""
"","9662000.0","","","2017-12-23","SOLICITUD Nº 18156 - AGOPECUARIA INDUSTRIAL FORESTAL CENTRAL DEL","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
"","711000.0","","","2018-01-04","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_916",""
"","610000.0","","","2018-01-05","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_165",""
"","560000.0","","","2018-01-03","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1001",""
"","37209664.0","","","2018-01-13","REPOS- ADICC -  OC Nº 36517. - 16/12/2017, SOLCIITUD Nº 18307 - ","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
"","876000.0","","","2017-10-04","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1709",""
"","4880000.0","","","2018-01-06","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1296",""
"","792000.0","","","2017-12-28","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1549",""
"","2120400.0","","","2018-01-12","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1879",""
"","","14450000.0","","2018-01-16","ENTR |01608","","","True","True","","","","__export__.account_account_928","__export__.res_partner_655",""
"","","1650000.0","","2018-01-28","ENTR |01730","","","True","True","","","","__export__.account_account_928","__export__.res_partner_384",""
"","","206550.0","","2018-01-01","OC |2017|03018","","","True","True","","","","__export__.account_account_928","__export__.res_partner_655",""
"","","1286000.0","","2018-01-17","ENTR |01714","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1876",""
"","","150000.0","","2018-01-14","OC |2017|03443","","","True","True","","","","__export__.account_account_928","__export__.res_partner_2057",""
"","2650500.0","","","2018-01-04","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_605",""
"","","125700.0","","2017-12-28","OC |2017|03239","","","True","True","","","","__export__.account_account_928","__export__.res_partner_2057",""
"","877800.0","","","2017-12-30","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1526",""
"","154000.0","","","2018-01-21","Fernando Echeverria ","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1549",""
"","1900950.0","","","2018-01-21","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_435",""
"","","50000.0","","2018-01-03","OC |2017|03331","","","True","True","","","","__export__.account_account_928","__export__.res_partner_2057",""
"","","521013.5","","2017-12-19","ENTR |01702","","","True","True","","","","__export__.account_account_928","__export__.res_partner_138",""
"","766000.0","","","2017-12-13","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1095",""
"","16703830.0","","","2018-01-06","SOLICITUD Nº 18227 - CONSORCIO HOSPITALARIO., SOLICITUD Nº 18277","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
"","","1250000.0","","2017-10-28","ENTR |01390","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1018",""
"","4647000.0","","","2018-01-21","REPOS - OC 36772, SOLICITUD Nº 18293","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
"","4692000.0","","","2017-10-11","ESCALERA 30X12 CM - CH #14","","","True","True","","","","__export__.account_account_828","__export__.res_partner_465",""
"","840000.0","","","2017-12-22","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1703",""
"","","5481750.0","","2018-01-12","ENTR |01681","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1162",""
"","","608000.0","","2018-01-04","OC |2017|03449","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1997",""
"","7733000.0","","","2018-01-05","SOLICITUD Nº 18286 - ABS MONTAJES S.A, SOLICITUD Nº 18235 - MATE","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
"","420000.0","","","2018-01-03","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1703",""
"","685000.0","","","2017-12-24","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_916",""
"","3169950.0","","","2017-12-24",", ","","","True","True","","","","__export__.account_account_828","__export__.res_partner_165",""
"","1253000.0","","","2017-10-20",", ","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1273",""
"","","9651200.0","","2017-12-20","ENTR |01598","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1876",""
"","339150.0","","","2018-01-19","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_165",""
"","","395550.0","","2018-01-12","ENTR |01678","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1162",""
"","842100.0","","","2018-01-18","Ana Gomez ","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1239",""
"","2352000.0","","","2017-12-20","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1628",""
"","","539850.0","","2018-01-27","OC |2017|03534","","","True","True","","","","__export__.account_account_928","__export__.res_partner_630",""
"","169100.0","","","2018-01-21","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_605",""
"","","50000.0","","2018-01-03","001-004-0009039","","","True","True","","","","__export__.account_account_928","__export__.res_partner_780",""
"","","1437500.0","","2018-01-12","ENTR |01655","","","True","True","","","","__export__.account_account_928","__export__.res_partner_916",""
"","1542000.0","","","2017-12-30","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1307",""
"","","209500.0","","2018-01-28","OC |2017|03525","","","True","True","","","","__export__.account_account_928","__export__.res_partner_2057",""
"","558000.0","","","2017-12-26","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_2159",""
"","34557000.0","","","2018-01-17","SOLCIITUD Nº 18307 - AREA INFORMATICA S.R.L, REPOS- ADICC -  OC ","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
"","718000.0","","","2017-12-14","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1628",""
"","672000.0","","","2018-01-05","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1307",""
"","","6000000.0","","2017-12-14","001-001-0008167","","","True","True","","","","__export__.account_account_928","__export__.res_partner_264",""
"","","5410050.0","","2018-01-03","ENTR |01661","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1162",""
"","530000.0","","","2018-01-06","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1709",""
"","","150000.0","","2018-01-14","OC |2017|03444","","","True","True","","","","__export__.account_account_928","__export__.res_partner_2057",""
"","530000.0","","","2018-01-18",", ","","","True","True","","","","__export__.account_account_828","__export__.res_partner_2213",""
"","980000.0","","","2018-01-11","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1982",""
"","","295200.0","","2018-01-26","ENTR |01734","","","True","True","","","","__export__.account_account_928","__export__.res_partner_944",""
"","51578690.0","","","2017-12-23","SOLICITUD Nº 18149 - EPESA, REPOS-ADIC- OC 36348, SOLICITUD Nº 1","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
"","","1642792.0","","2017-12-24","OC |2017|03243","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1035",""
"","23349900.0","","","2018-01-25","SOLICITUD Nº 18277 - SEGE S.R.L, REPOS - OC N º 36702- 22/12/201","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
"","742900.0","","","2017-12-08","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1703",""
"","23387100.0","","","2018-01-19","REPOS - OC Nº 36612  22/12/2017., REPOS- ADICC -  OC Nº 36517. -","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
"","1680000.0","","","2018-01-26","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_2213",""
"","1151400.0","","","2017-12-20",", ","","","True","True","","","","__export__.account_account_828","__export__.res_partner_605",""
"","","407000.0","","2017-12-30","OC |2017|03151","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1108",""
"","4855000.0","","","2017-12-29",", ","","","True","True","","","","__export__.account_account_828","__export__.res_partner_618",""
"","970000.0","","","2017-12-22","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_417",""
"","471000.0","","","2017-12-20","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1703",""
"","29918200.0","","","2018-01-25","REPOS - OC 36582 23/12/2017., REPOS - OC Nº 36612  22/12/2017.","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
"","714000.0","","","2017-11-09","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_2008",""
"","2466000.0","","","2017-12-20","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_575",""
"","2727000.0","","","2017-12-13","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1709",""
"","","527000.0","","2017-12-14","OC |2017|03272","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1558",""
"","1760270.0","","","2018-01-06",", ","","","True","True","","","","__export__.account_account_828","__export__.res_partner_618",""
"","752000.0","","","2018-01-11","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1628",""
"","2350000.0","","","2017-12-26","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_849",""
"","","1160144.86","","2018-01-13","ENTR |01700, ENTR |01668","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1209",""
"","","1500000.0","","2018-01-18","ENTR |01685","","","True","True","","","","__export__.account_account_928","__export__.res_partner_2336",""
"","17977000.0","","","2017-12-20","SOLICITUD Nº 18069 - MOLINAS BAREIRO, MARIO., REPOS-ADIC- OC 363","","","True","True","","","","__export__.account_account_828","__export__.res_partner_655",""
"","420000.0","","","2018-01-03","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1703",""
"","","1150952.0","","2017-12-22","OC |2017|03247","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1035",""
"","1048800.0","","","2018-01-04","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1654",""
"","1697000.0","","","2018-01-05","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1307",""
"","","162098.0","","2018-01-19","OC |2017|03461","","","True","True","","","","__export__.account_account_928","__export__.res_partner_2057",""
"","1940000.0","","","2017-12-09","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1018",""
"","513950.0","","","2018-01-14","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_605",""
"","","1871752.0","","2018-01-17","OC |2017|03452","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1035",""
"","570000.0","","","2017-11-15","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1526",""
"","","1875000.0","","2017-12-02","ENTR |01496","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1018",""
"","","600000.0","","2018-01-20","ENTR |01630","","","True","True","","","","__export__.account_account_928","__export__.res_partner_1549",""
"","","170478.0","","2017-12-30","OC |2017|03271","","","True","True","","","","__export__.account_account_928","__export__.res_partner_2057",""
"","1150000.0","","","2017-12-30","/","","","True","True","","","","__export__.account_account_828","__export__.res_partner_1703",""
